Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,8,(+2),37,MikeH,21,35,56,1st,Yes (5),2nd,30 (7.5),9th,7 (1),8th,1.867 (2),15.5,,14,6,0,3,3,2,2,0,0,10,Bishop,Invisible Woman,Invisible Woman,Rictor,First attempt,3,"This was an interesting setup. The Purifiers were a good group as it let you fight them regardless of where your token was. Mixing Subterranea and the Tornado scheme was very clever - you fight one of them to Burrow to the Streets, hoping to finish them off in the next turn, and then the tornado hits.  lol I think my choice of Heroes was non-ideal. I may play this again, especially after I see other's ideas for synergistic heroes.",
,,9,(+1),34,Kal-el,26,37,63,1st,Yes (5),8th,34 (1.5),2nd,1 (6.5),9th,1.853 (1),14,,11,5,0,1,1,4,1,0,0,7,Bishop,Forge,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Interesting setup. I liked the location aspect of the Scheme paired with chasing the rings. I struggled generating enough fight until near the end but was able to close it out with one Twist remaining.,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,The Great Beyond Lies Within the Villain Deck,1,(+9),41,Pyromagnus & Shoshielynn,12,21,33,1st,Yes (6),1st,14 (7.5),1st,0 (7),3rd,2.357 (6),26.5,,9,5,2,4,6,10,2,5,4,31,King Black Panther,Ravage 2099,Princess Shuri,Ravage 2099,First attempt,3,Played twice and having big tactics in the city that need a lot of investment to takedown is no fun.,
,,2,(+8),41,Coldvein & Raja0629,20,56,76,1st,Yes (6),4th,25 (5),1st,0 (7),2nd,3.04 (7),25,,36,11,3,4,3,5,2,4,2,20,Doctor Doom 2099,Phyla-Vell,Doctor Doom 2099,Phyla-Vell,Second attempt,5,Fun trying to strike early before the Tactics hit the city.,
,,3,(+7),40,yeeches,52,15,67,1st,Yes (6),3rd,21 (6),4th,1 (5),1st,3.19 (8),25,,37,10,0,4,3,7,2,5,2,23,Ravage 2099,King Black Panther,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Fun game! I thought I was going to lose when the second Beyonder was about to escape the bridge but then I suddenly was able to take out two celestials in one turn and the boon ramp gave me nice control of the game! Nearly won on turn 17 but this one still felt like a great, balanced somewhat lucky game. King Black Panther carried the board with his rare and Okoye's as well.",
,,4,(+6),38,Fives & Echo,11,14,25,1st,Yes (6),1st,14 (7.5),1st,0 (7),5th,1.786 (4),24.5,,3,3,9,3,4,15,2,3,4,31,Ghost Rider 2099,Nova (Avengers),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"This was one of fastest two players games I've ever played. This is largely due to the fact that I took two recruit cards early and secured Infernal Chainsaw, then on turn 14, I had two Draw from the world mind with Infernal Chainsaw and no deck.",
,,5,(+5),39,Kb_driven,34,25,59,1st,Yes (6),5th,30 (4),6th,3 (3),4th,1.967 (5),18,,9,3,7,2,2,4,0,4,4,16,Ravage 2099,White Wolf,Ravage 2099,White Wolf,Second attempt,4,"Game 1 was a bust with very tough enemies stacking the city and 2 tactics escaped by turn 12.  Game 2 however was a different story.  Got a very lucky opening hand for player 2 with 6 recruit which allowed for Ravage's uncommon Detect Vibrations to be recruited immediately, and that really helped to mitigate a bit of the Villain deck.  Clones came out early, which did result in a few escapes, but made it manageable at least to keep the city under somewhat control.  Player 1 got cyber mod going with Hulk and Okoye, and got lucky with Scheme Twists not revealing tactics as well.  On turn 30 player 2 managed to combine Nezarr's boon with cosmic threat to take down the Beyonder with an empty city for the win.",
,,6,(+4),36,AntDude,3,8,11,6th,No (2),6th,17 (3),7th,4 (2),6th,0.647 (3),10,,5,2,0,2,6,12,2,4,2,28,Phyla-Vell,King Black Panther,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,"This setup was awful, and it made it so I didn't even want to try it a 2nd time. It seems the biggest aspect of this one is to get a good shuffle on the villain deck. Ooof. And I almost got my wife to play with me tonight, and if she had, I don't know if I could convince her to play Legendary ever again.",
