Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,,
,,3,(+8),37,Bikk Bikk,61,18,79,1st,Yes (5.5),1st,25 (10),1st,0 (5.5),6th,3.16 (5),26,,43,3,4,1,3,7,1,0,0,12,Hulkbuster Iron Man,Darkhawk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Darkhawk paired so well with Hulkbuster Iron man.,,,
,,4,(+7),31,Astigmatic_oracle,56,40,96,1st,Yes (5.5),3rd,28 (7.5),1st,0 (5.5),5th,3.429 (6),24.5,,16,2,8,0,4,4,2,0,0,10,Darkhawk,Gladiator Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Probably the most fun game I've played against the Red King. Smash + Hyperspeed is a fun combo. I decided to support Speed with my hero choices instead of going with support for Mockingbird and it paid off.,,,
,,5,(+6),32,Handballermann & Efruhuhn,48,68,116,1st,Yes (5.5),7th,32 (3.5),1st,0 (5.5),3rd,3.625 (8),22.5,,20,1,18,0,1,1,1,1,0,4,Deathlok,Agent Phil Coulson,Deathlok,Agent Phil Coulson,First attempt,3,"We tried to hard focus on Shield Level, but our card draw failed us in both games. Nothing worked out as we planned. Feasted our good cards away, bad luck drawing cards. As soon we got the legendary cards, it became nice and fast.",,,
,,6,(+5),35,GamerGump & Kendycrow,39,82,121,1st,Yes (5.5),9th,33 (2),1st,0 (5.5),2nd,3.667 (9),22,,43,2,16,0,0,0,0,0,0,0,War Machine,Quake,Darkhawk,Quake,First attempt,4,"The combination of Dark Avengers with Last Stand and The Red King not being able to be attacked while Villans are in the city was a tough combo. Lots of KOing of cards was nice, by the last few turns we were rolling and barley scrapped out a win on literally last possible turn.",,,
,,7,(+4),32,waxbottle & Mrs. waxbottle,35,51,86,1st,Yes (5.5),3rd,28 (7.5),1st,0 (5.5),8th,3.071 (3),21.5,,16,2,4,1,2,5,0,0,0,8,Bruce Banner,Rick Jones,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Last Stand villains in the HQ were tricky!  Fun stuff!  Mockingbird + Rick Jones was great.,,,
,,8,(+3),34,Pokeloly,53,43,96,1st,Yes (5.5),6th,31 (5),1st,0 (5.5),7th,3.097 (4),20,,10,2,15,1,0,1,2,0,0,4,Korg,Deathlok,Korg,Deathlok,First attempt,3,Went with Korg since I figured his rare might be able to get some large attack values from the villains in the HQ. I managed to buy him but it only really got one decent turn though it did help in clearing the villains from the HQ.,,,
,,9,(+2),26,eventhorizon0121,34,59,93,1st,Yes (5.5),7th,32 (3.5),1st,0 (5.5),9th,2.906 (2),16.5,,25,2,10,1,0,3,0,0,0,4,Gladiator Hulk,She-Hulk,Gladiator Hulk,She-Hulk,First attempt,4,"This setup felt like slogging through mud. The HQ got bogged down the first attempt and then the second attempt saw a ton of wounds in the first 10 turns. Both games ended in a similar number of turns. I chose the first, where Mockingbird scaling carried the day against the Red King while a Skaar/Gladiator Hulk deck played Street Sweeper. The second had less defined deck development but more balance.",,,
,,10,(+1),26,wingedcrusader,58,37,95,1st,Yes (5.5),10th,35 (1),1st,0 (5.5),10th,2.714 (1),13,,21,2,1,0,1,0,0,0,0,1,Gladiator Hulk,"Miek, the Unhived",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"It was weird and challenging but interesting, I definitely don't like wounded fury or Skaar very much but I like the combination of the scheme and last stand, felt very interesting.",,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,An Apple A Day Keeps Avengers Away,1,(+10),33,Tuba2k7 & Alicat22,81,38,119,1st,Yes (7.5),2nd,31 (9),1st,0 (6.5),1st,3.839 (10),33,,43,23,16,0,4,0,3,0,0,7,Ghost Rider 2099,Ultron,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,piplup1112111 played this setup,,,
