Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,6
,,4,(+7),40,Bakatora971,40,36,76,1st,Yes (6),1st,25 (10),1st,0 (6),8th,3.04 (3),25,,4,2,0,2,4,7,3,0,0,16,Groot,Silver Surfer,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Wanted drax doubling attack and surfer doubling recruit but it didn't work. Drax didn't have enough support luckily surfer carried.,,
,,5,(+6),38,waxbottle & Mrs. waxbottle,52,44,96,1st,Yes (6),5th,29 (5),1st,0 (6),5th,3.31 (6),23,,8,8,0,2,3,5,3,0,0,13,Mr. Fantastic,Rocket Raccoon,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,"I'm not a fan of the scheme, the mastermind, or Iron Fist.  Tech and card draw is always fun though.  Scheme wasn't too  difficult...  Just kind of a long game!",,
,,6,(+5),42,Bikk Bikk,50,38,88,1st,Yes (6),4th,28 (7),1st,0 (6),7th,3.143 (4),23,,12,3,0,3,3,4,3,0,0,13,Domino,Daredevil (Marvel Knights),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Domino was a wrecker for this setup. The scheme flipping recruit and attack made no difference with her versatility. Player 1 ended up KOing 11 starters and recruiting 4 rares (Drax, Daredevil, Iron Fist, and Domino). Managed 28 attack points while in the negative zone and went on a shopping spree. Then the scheme flipped and just beat everything down.
Player 2 KOed 1 card and recruited maybe 5 heroes cards, very poor deck. ",,
,,7,(+4),32,Minos_griffin & Phryne,41,61,102,1st,Yes (6),8th,30 (3),1st,0 (6),4th,3.4 (7),22,,20,5,0,1,4,3,0,1,0,9,Forge,Punisher,Forge,Punisher,First attempt,5,"Mysterio is always a fun MM to played against and the combination with the scheme made it to be a really interesting game. It was definitely a game for versatile, however I already used Domino, so Forge was a great addition for this game.",,
,,8,(+3),38,GamerGump & Kendycrow,44,67,111,1st,Yes (6),9th,34 (2),1st,0 (6),6th,3.265 (5),19,,23,6,0,0,3,2,1,0,0,6,Mr. Fantastic,Invisible Woman,Mr. Fantastic,Invisible Woman,Second attempt,3,"It was good challenge, but going to be forgettable Scheme/Mastermind combo. Moonknight and drax went well together.",,
,,9,(+2),33,Astigmatic_oracle,36,43,79,1st,Yes (6),5th,29 (5),10th,1 (1),10th,2.724 (1),13,,7,2,0,2,1,4,2,1,0,10,Domino,Forge,Domino,Forge,Second attempt,3,"Well, in attempt 1 I hit 7 scheme twists in 16 turns so that one was a dud. I actually really like this scheme, but it can be a fast loss if you have a bad shuffle. I used Versatile heroes to help combat the change in attack and recruit.",,
,,10,(+1),30,energythief,47,56,103,10th,No (1),10th,36 (1),1st,0 (6),9th,2.861 (2),10,,9,5,0,0,1,1,2,0,0,4,Forge,Mr. Fantastic,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Mysterio is an asshole.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Certified Fresh,1,(+10),40,Kb_Driven,91,100,191,1st,Yes (6),4th,25 (6.5),1st,0 (6.5),2nd,7.64 (9),28,,9,49,0,3,2,7,2,0,0,14,Silk,Spider-Gwen,Silk,Spider-Gwen,Second attempt,5,"This was a great setup, I've never mixed Hidden Witnesses and Human Shields before, but it was a bonanza of bystanders.  Spider-Gwen's Save the Day was a rockstar, making the final turns brutal to be Mojo.  I may have to try it again for fun using Epic Mojo!",,
,,2,(+9),38,CoreyG,92,55,147,1st,Yes (6),1st,21 (10),1st,0 (6.5),6th,7 (5),27.5,,37,35,0,3,2,7,4,2,0,18,Banshee,Polaris,Dazzler,Jubilee,First attempt,5,"My first time getting to use my new-to-me X-Men expansion! I keyed in on Piercing Energy being important for fighting Mojo and his villains. Even after a solid first game, I wanted to still test out whether I could generate enough Piercing Energy from Lightshow and Dazzler with my second game. I was never in danger of losing my second game, but I was able to test and show myself that Piercing Energy via Dazzler and Lightshow is much less reliable. As an upside though, it's not all-in on Piercing Energy as my first picks were, so it had flexibility for generating fight as well. With this setup though, reliably getting Piercing Energy was so key though to not have to slog through all the Human Shields. I think I was able to regularly get just 5 P.E. to have enough to fight Mojo, but it would be interesting to try again against a MM with 6 victory points. That one extra VP might be enough for Banshsee + Polaris' P.E. to not be reliable enough. I got a little greedy in my first attempt and got lucky with the villain deck. I had the opportunity to hit Mojo with PE or clear a couple villains from the city. I should have paid more attention that the other player's hand only had recruit and wouldn't be able to fight any villains from the city. I luckily avoided a villain escape by the top card being a Master Strike rather than another villain which would have pushed one into escape. Was a case of being greedy and trying to knock out the MM ASAP almost bit me in the rear, as escapes are so much more detrimental to the tournament scoring. Fun setup with LOADS of bystanders and a great way for me to break in my X-Men expansion! Cheers!",,
,,3,(+8),37,brentmcampbell,130,59,189,1st,Yes (6),4th,25 (6.5),1st,0 (6.5),3rd,7.56 (8),27,,71,43,0,2,3,6,1,1,0,13,Spider-Gwen,Psylocke,Spider-Gwen,Psylocke,First attempt,5,"Scores were actually 148 for left and 41 for right. 
Very fun setup. Knew you made it to be a bystander bonanza so we tried to lean into it. Spider-gwen showed up hardcore which was what I had hoped. Using her ""Save the Day"" my wife was averaging around 30 attack towards the end.",,
